event_id,event_title,event_end_date,matched_meeting_date,match_method,n_submarkets_total,n_submarkets_parsed,suggested_confirm,confirmed,notes
902721,Fed Interest Rates: December 2023,2023-12-13,2023-12-13,exact_date,2,2,False,TRUE,
903022,Fed Interest Rates: January 2024,2024-01-31,2024-01-31,exact_date,3,3,True,TRUE,
903377,Fed Interest Rates: March 2024,2024-03-20,2024-03-20,exact_date,4,4,True,TRUE,
10098,Fed Interest Rates: May 2024,2024-05-01,2024-05-01,exact_date,4,4,True,TRUE,
10535,Fed Interest Rates: June 2024,2024-06-12,2024-06-12,exact_date,4,4,True,TRUE,
11074,Fed Interest Rates: July 2024,2024-07-31,2024-07-31,exact_date,4,4,True,TRUE,
11696,Fed Interest Rates: September 2024,2024-09-18,2024-09-18,exact_date,4,4,True,TRUE,
11827,Fed Interest Rates: November 2024,2024-11-07,2024-11-07,exact_date,6,5,True,TRUE,
11878,Fed decision in December?,2024-12-18,2024-12-18,exact_date,6,5,True,TRUE,
14220,Fed decision in January?,2025-01-29,2025-01-29,exact_date,5,5,True,TRUE,
15665,Fed decision in March?,2025-03-19,2025-03-19,exact_date,4,4,True,TRUE,
17140,Fed decision in May?,2025-05-07,2025-05-07,exact_date,4,4,True,TRUE,
17792,Fed decision in June?,2025-06-18,2025-06-18,exact_date,4,4,True,TRUE,
21255,Fed decision in July?,2025-07-30,2025-07-30,exact_date,4,4,True,TRUE,
24087,Fed decision in September?,2025-09-17,2025-09-17,exact_date,4,4,True,TRUE,
27824,Fed decision in October?,2025-10-29,2025-10-29,exact_date,4,4,True,TRUE,
35090,Fed decision in December?,2025-12-10,2025-12-10,exact_date,4,4,True,TRUE,
45883,Fed decision in January?,2026-01-28,2026-01-28,exact_date,4,4,True,TRUE,
67284,Fed decision in March?,2026-03-18,2026-03-18,exact_date,4,4,True,TRUE,
75478,Fed decision in April?,2026-04-29,2026-04-29,exact_date,4,4,True,TRUE,
101772,Fed Decision in June?,2026-06-17,2026-06-17,exact_date,5,5,True,TRUE,
287395,Fed Decision in July?,2026-07-29,2026-07-29,exact_date,5,5,True,TRUE,
481717,Fed Decision in September?,2026-09-16,2026-09-16,exact_date,5,5,True,TRUE,
606422,Fed Decision in October?,2026-10-28,2026-10-28,exact_date,5,5,True,TRUE,
